Time;L.AnkleF;L.AnkleS;L.HipF;L.HipR;L.HipS;L.Knee;L.ShoulderF;L.ShoulderS;R.AnkleF;R.AnkleS;R.HipF;R.HipR;R.HipS;R.Knee;R.ShoulderF;R.ShoulderS;TorsoR;L.HipF_real;L.HipS_real;L.HipR_real;L.Knee_real;L.AnkleF_real;L.AnkleS_real;R.HipF_real;R.HipS_real;R.HipR_real;R.Knee_real;R.AnkleF_real;R.AnkleS_real;TorsoS_real;TorsoF_real;TorsoR_real;L.ShoulderF_real;L.ShoulderS_real;L.ElbowR_real;L.Elbow_real;Neck_real;HeadR_real;HeadF_real;R.ShoulderF_real;R.ShoulderS_real;R.ElbowR_real;R.Elbow_real
0.05;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.174862;1.5489;0.0317194;19.6597;0.128954;10.2167;-0.0264077;-0.277971;0.0293698;19.627;0.0717716;-10.1868;0.0524558;0.0271842;0.0342875;-18.1625;-0.0276313;-14.9908;-25.0034;0.0124856;0.00841479;-0.00817032;-18.1684;-0.0162867;14.9998;-24.9999
0.055;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.197173;1.78093;0.0410085;19.6341;0.0398337;10.1886;-0.0837752;-0.507493;0.0188786;19.6267;0.0332767;-10.1709;-0.0701393;-0.0449025;0.0278398;-18.1874;-0.025277;-14.9984;-25.0034;0.00726732;0.00942566;-0.0136937;-18.1934;-0.00770064;14.9974;-24.9984
0.06;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.0536951;2.78333;0.0164471;19.6321;0.120676;10.2051;-0.0865894;-1.50968;0.011584;19.6393;-0.179274;-10.1911;-0.0118645;0.0438498;-0.065801;-18.164;-0.028209;-14.9962;-24.9991;-0.00830938;0.00622913;0.00387955;-18.1654;0.0349159;14.9954;-25.0001
0.065;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.0317467;3.43914;0.00652966;19.6334;0.0437952;10.2104;0.0888198;-2.14369;0.0104365;19.6294;0.423772;-10.2425;-0.0177956;0.0259274;0.0383857;-18.1714;-0.00740366;-14.9981;-25.0011;0.00248619;-0.00774191;0.00207638;-18.1695;-0.0332639;14.9996;-24.9998
0.07;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.0370196;3.94845;-0.0175219;19.6306;-0.245142;9.99249;0.0776456;-2.67992;-0.0262832;19.623;0.286376;-10.2146;-0.0120736;0.0639852;-0.0146696;-18.1682;-0.00633553;-15.0001;-25.0008;0.00147532;-0.00366513;-0.00134448;-18.1702;-0.0124144;15.0002;-25.0005
0.075;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.453051;5.03762;0.112452;19.6309;-0.894664;9.58185;-0.107329;-3.22401;0.0392053;19.6286;-0.784702;-9.59849;0.0474562;-0.0522732;-0.0769421;-18.1633;-0.028222;-14.9935;-25.0006;0.00256815;0.0182503;0.00428936;-18.1732;-0.0116112;14.9919;-25.0005
0.08;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.566651;5.2546;-0.165251;19.6159;0.905;9.36463;0.278426;-3.41117;-0.0852479;19.6245;-1.0979;-10.2075;0.0413636;0.0754053;0.0466365;-18.1637;0.0280584;-15.0021;-24.9987;0.00909781;-0.0199206;-0.0172986;-18.1795;0.0375387;14.9989;-24.9947
0.085;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.364022;5.06041;-0.127999;19.6242;1.10343;9.44716;0.250695;-3.41211;-0.0618514;19.6232;1.38565;-10.5096;-0.0669282;0.0798586;0.0367464;-18.1773;0.0662802;-14.9925;-25.0031;0.0170755;0.0243974;0.0214195;-18.1739;0.0312549;15.0021;-24.9979
0.09;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;-0.307205;4.97708;0.104857;19.6253;-1.38418;9.68321;-0.283957;-3.42295;0.0751867;19.6262;-1.25357;-9.72335;0.1083;-0.0950636;0.137423;-18.1708;0.0729191;-14.9962;-25.0023;-0.00636506;-0.0159355;-0.0162626;-18.161;-0.0188869;14.9969;-24.9987
0.095;-0;10.2107;-0;-0.00383882;10.209;19.6312;-18.1696;-0.981706;-0;-10.2092;-0;-0.00383882;-10.2103;19.631;-18.1711;0.958444;-0.00710468;0.316047;5.07464;-0.128767;19.6264;-2.05961;9.51117;0.286649;-3.34988;-0.134394;19.6362;-0.43592;-9.81291;-0.0357673;0.0548328;-0.123447;-18.174;0.0246433;-15.0066;-24.9976;-0.0109912;0.0124856;-0.0105599;-18.1387;0.00860604;14.9974;-24.9947
