Time HeadF HeadR L.AnkleF L.AnkleS L.Elbow L.ElbowR L.HipF L.HipR L.HipS L.Knee L.ShoulderF L.ShoulderS Neck R.AnkleF R.AnkleS R.Elbow R.ElbowR R.HipF R.HipR R.HipS R.Knee R.ShoulderF R.ShoulderS TorsoF TorsoR TorsoS L.HipF_real L.HipS_real L.HipR_real L.Knee_real L.AnkleF_real L.AnkleS_real R.HipF_real R.HipS_real R.HipR_real R.Knee_real R.AnkleF_real R.AnkleS_real TorsoS_real TorsoF_real TorsoR_real L.ShoulderF_real L.ShoulderS_real L.ElbowR_real L.Elbow_real Neck_real HeadR_real HeadF_real R.ShoulderF_real R.ShoulderS_real R.ElbowR_real R.Elbow_real Yaw Pitch Roll R.FTS.Ankle_Fx R.FTS.Ankle_Fy R.FTS.Ankle_Fz R.FTS.Ankle_Tx R.FTS.Ankle_Ty R.FTS.Ankle_Tz L.FTS.Ankle_Fx L.FTS.Ankle_Fy L.FTS.Ankle_Fz L.FTS.Ankle_Tx L.FTS.Ankle_Ty L.FTS.Ankle_Tz
61 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8643 0.129528 -0.0753757 62.9201 -30.1285 -0.501889 -37.0326 0.216845 -0.144018 63.2194 -30.3377 -0.693682 -0.00347258 -0.00348857 0.0563354 16.7204 5.68884 -0.000275826 -120 0.000792302 -0.000602299 -0.00131349 21.1293 -9.96584 0.00142068 -120 -0.201004 4.25629 0.393097 -13.8929 34.4856 -434.152 -3.32624 -10.0205 1.03479 3.61138 -39.039 -288.744 2.66842 -11.9065 -1.17141
67 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8638 0.136686 -0.0740021 62.9186 -30.1986 -0.495474 -37.0322 0.208676 -0.142601 63.2211 -30.1738 -0.718725 0.00122943 -0.00171061 0.0577561 16.7195 5.68796 0.000409811 -120 0.000628377 0.00117479 -0.00156304 21.1291 -9.96561 0.00142068 -120 -0.2032 4.25733 0.393463 -16.3686 33.7059 -399.338 -3.43466 -13.7341 1.01022 -4.44878 -36.7444 -242.828 2.53622 -14.6049 -1.1023
72 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8642 0.123107 -0.0765638 62.9199 -30.11 -0.48649 -37.0316 0.215861 -0.142597 63.2199 -30.1469 -0.728588 0.00734928 0.0021037 0.0568545 16.7191 5.68903 0.00136604 -120 0.00071034 -0.000681549 -0.000287142 21.1291 -9.96487 -0.00096819 -120 -0.206656 4.26024 0.38446 -20.9839 31.4639 -360.856 -3.51293 -13.2363 0.94339 -9.01516 -36.1305 -209.783 3.03488 -15.3266 -1.08388
78 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8652 0.122178 -0.0732433 62.9197 -30.0321 -0.520263 -37.0319 0.206162 -0.141992 63.2196 -30.1673 -0.698698 0.00360634 -0.00278441 0.0592041 16.7202 5.68881 0.000300528 -120 0.000163925 0.00128408 -0.000118364 21.1287 -9.96538 0.000792302 -120 -0.209023 4.26596 0.384003 -15.2884 27.7235 -366.557 -2.97897 -9.42183 0.831649 -6.32072 -33.7366 -214.447 3.51452 -14.8001 -1.01222
84 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.865 0.138079 -0.0731118 62.9205 -30.2207 -0.509561 -37.0354 0.203376 -0.143168 63.2204 -30.3938 -0.714669 -0.00635156 0.00259547 0.0578107 16.7212 5.68791 -0.000608443 -120 0.000628377 0.000546415 0.00136604 21.1288 -9.96537 0.00114747 -120 -0.209929 4.26257 0.388397 -9.46871 28.1141 -386.551 -3.66513 -12.1312 0.843443 -2.36465 -34.2816 -239.54 3.23504 -15.1727 -1.02822
90 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8655 0.121605 -0.0790293 62.9202 -30.0485 -0.50308 -37.0357 0.217282 -0.144635 63.218 -30.2914 -0.681509 -0.00463316 -0.00367282 0.058002 16.72 5.68968 -0.00201039 -120 0.000819623 -0.00201289 0.000655698 21.1284 -9.9652 0.000491774 -120 -0.214012 4.26747 0.39328 -10.1259 27.2156 -433.033 -2.81343 -8.87023 0.816744 -8.33675 -33.7338 -286.687 3.53606 -11.5379 -1.01157
96 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8643 0.134637 -0.0729468 62.9204 -30.2237 -0.494591 -37.0329 0.216708 -0.144698 63.2203 -30.3358 -0.68434 -0.00348108 0.00333313 0.0587396 16.7202 5.68846 -0.00277639 -120 0.000519094 0.000655698 -0.000295381 21.1285 -9.96618 0.000792302 -120 -0.216026 4.26305 0.393829 -3.6083 22.9705 -479.204 -2.43237 -7.06642 0.689273 -4.2229 -34.8451 -332.936 3.20176 -9.62481 -1.04478
102 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8626 0.131905 -0.0782225 62.9195 -30.0385 -0.520206 -37.0333 0.218129 -0.142481 63.2192 -30.3395 -0.706553 -0.00210599 0.00284136 0.0567179 16.7196 5.68895 -0.00116427 -120 0.000491774 -0.000994549 -0.000344104 21.1278 -9.96575 0.00180317 -120 -0.215502 4.25671 0.395508 -1.90702 23.5812 -545.266 -3.35134 -9.12154 0.707511 -12.9903 -31.57 -401.763 2.97826 -7.83747 -0.946543
109 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8626 0.120949 -0.0821595 62.92 -30.0332 -0.536076 -37.033 0.215506 -0.142381 63.2212 -30.2026 -0.688154 -0.000465707 0.00622913 0.0580839 16.7183 5.68886 -0.00122768 -120 -0.000949287 0.000983547 -0.00194373 21.1293 -9.96614 0.0013114 -120 -0.218371 4.25898 0.395447 -4.51562 23.7326 -580.125 -3.51 -6.63348 0.711669 -14.4141 -30.1867 -434.282 2.62114 -5.71615 -0.905227
114 0 0 -30.0642 -0.503573 -120 0 -36.8642 -0.074771 0.124389 62.9196 16.7202 5.6889 0 -30.18 -0.705999 -120 0 -37.0323 -0.144213 0.216292 63.2194 21.1289 -9.96574 0 0.0566082 0 -36.8658 0.125074 -0.0752932 62.9199 -30.1203 -0.487022 -37.0322 0.210725 -0.145349 63.2207 -30.1675 -0.70373 0.00530023 0.0146986 0.0548054 16.7193 5.68895 -0.000380277 -120 -0.000527259 -0.00191743 0.000300528 21.1283 -9.96563 -0.00208997 -120 -0.216704 4.25579 0.388977 -4.7832 29.0705 -607.571 -4.01224 -5.34018 0.871968 -14.0855 -30.0924 -461.929 2.47456 -3.28227 -0.902522
